               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                  43,            0.036632,           0.0054434,           0.0030407,             0.79267,             0.76881,             0.79287,             0.43405,             0.04076,           0.0045197,           0.0062625,            0.008614,            0.008614,            0.008614,             0.42419,             0.47333,             0.28443,             0.34079,             0.42649,             0.62627,             0.46283,             0.81843,             0.93645,             0.72939,             0.69851,             0.73267,             0.87315,             0.76148
                  44,             0.03591,            0.005292,           0.0031567,             0.79536,             0.71544,             0.76587,             0.44216,             0.03866,            0.004641,           0.0074171,            0.008581,            0.008581,            0.008581,             0.45437,             0.56689,             0.32096,             0.26645,             0.43293,              0.5729,             0.48066,             0.81073,             0.94652,             0.71116,             0.58241,             0.69442,             0.85788,             0.75793
                  45,            0.035876,           0.0052277,           0.0029768,             0.77819,             0.70251,             0.74142,             0.42701,            0.040285,           0.0047987,            0.006619,            0.008548,            0.008548,            0.008548,             0.42469,             0.44785,             0.30632,             0.29224,             0.42874,             0.62477,             0.46446,             0.77465,             0.91074,             0.66866,             0.58315,             0.64415,             0.85424,             0.75438
                  46,             0.03558,           0.0056273,           0.0031136,             0.72533,             0.75007,             0.76411,             0.43846,            0.038222,            0.004744,           0.0067024,            0.008515,            0.008515,            0.008515,             0.43691,             0.57049,             0.31284,             0.31487,             0.42854,             0.55392,             0.45164,              0.7898,              0.9531,             0.70895,             0.67846,             0.68285,             0.79332,             0.74232
                  47,            0.036735,             0.00554,           0.0029958,             0.78259,             0.71913,             0.76083,             0.44476,            0.039209,           0.0046635,           0.0069578,            0.008482,            0.008482,            0.008482,             0.42043,             0.55828,             0.30186,             0.33916,             0.44072,             0.59899,             0.45389,              0.8103,             0.94305,             0.68619,             0.66299,              0.6734,             0.78921,             0.76069
                  48,            0.035586,           0.0053729,           0.0026936,             0.82369,             0.70692,              0.7683,              0.4341,            0.039067,           0.0045937,           0.0065803,            0.008449,            0.008449,            0.008449,             0.45207,             0.54846,             0.29301,             0.32503,             0.42147,             0.53778,             0.46086,             0.81066,             0.94068,             0.68699,              0.6124,              0.7159,             0.84855,             0.76291
                  49,            0.034367,           0.0050644,           0.0029753,             0.77761,             0.74012,             0.77343,             0.44856,             0.03806,           0.0045856,            0.006035,            0.008416,            0.008416,            0.008416,             0.46398,             0.49901,             0.30979,             0.31174,             0.47486,             0.56684,             0.51368,             0.81518,             0.90807,             0.68872,             0.63584,             0.75906,             0.81184,             0.79531
                  50,            0.034717,           0.0053372,           0.0026038,             0.77063,             0.76571,             0.78595,             0.45592,            0.037971,           0.0045179,           0.0061971,            0.008383,            0.008383,            0.008383,             0.46952,              0.5204,             0.33791,             0.33026,             0.46168,               0.592,              0.4797,             0.82027,             0.91408,             0.73206,             0.67478,             0.76856,             0.83838,             0.75348
                  51,            0.034708,           0.0052096,           0.0028981,             0.80894,             0.74786,             0.78308,             0.45754,            0.039355,           0.0045856,           0.0065336,             0.00835,             0.00835,             0.00835,             0.45452,             0.46803,             0.28887,              0.3777,             0.46201,             0.60268,               0.549,             0.82979,             0.91893,             0.66384,             0.72913,             0.75875,             0.81122,             0.76986
                  52,            0.034862,            0.005144,           0.0028857,             0.80098,             0.72277,             0.74666,             0.40984,            0.039099,            0.004771,           0.0069396,            0.008317,            0.008317,            0.008317,             0.46397,             0.48775,             0.31066,             0.29601,             0.37755,             0.51977,             0.41317,             0.82366,              0.9333,             0.69848,             0.55212,              0.6955,             0.80846,              0.7151
                  53,             0.03387,           0.0050706,            0.002482,             0.80592,             0.71947,             0.76933,             0.43546,            0.040196,           0.0046618,           0.0062054,            0.008284,            0.008284,            0.008284,             0.45583,             0.42459,             0.31906,             0.34589,              0.4496,             0.56983,              0.4834,             0.82874,             0.92903,             0.72172,             0.66134,             0.69249,             0.82405,             0.72789
                  54,            0.033538,             0.00491,           0.0028225,             0.81589,             0.72456,             0.77766,             0.45759,            0.038984,            0.004582,           0.0063755,            0.008251,            0.008251,            0.008251,              0.4772,             0.56901,             0.34541,             0.30759,             0.45804,             0.53603,             0.50984,             0.82644,             0.94819,             0.75132,             0.62305,             0.70357,             0.81372,             0.77733
                  55,            0.035136,           0.0055063,           0.0025409,             0.82089,              0.7174,             0.77876,             0.45143,            0.039064,           0.0046803,            0.006616,            0.008218,            0.008218,            0.008218,              0.4595,             0.51438,             0.28407,             0.33851,             0.47274,             0.57962,             0.51118,             0.81518,             0.95371,             0.68311,             0.65081,             0.70656,               0.856,             0.78593
                  56,            0.034458,           0.0050842,           0.0025135,             0.81253,             0.73442,             0.78686,             0.46613,            0.038646,             0.00471,           0.0062301,            0.008185,            0.008185,            0.008185,             0.43999,             0.57234,             0.27648,             0.35745,             0.45533,             0.61572,             0.54557,             0.78755,             0.94492,             0.67733,             0.71568,             0.72907,             0.84451,             0.80894
                  57,            0.033636,           0.0050723,           0.0024918,             0.78407,             0.76056,             0.78468,             0.46446,            0.038487,           0.0044729,           0.0060934,            0.008152,            0.008152,            0.008152,             0.47773,             0.44369,             0.30786,             0.34844,             0.50563,             0.63803,             0.52985,             0.83702,             0.91323,             0.73221,               0.672,             0.71787,             0.84841,               0.772
                  58,            0.033574,           0.0051581,           0.0022657,             0.78676,             0.76725,             0.78846,             0.46751,            0.039002,           0.0045275,           0.0060091,            0.008119,            0.008119,            0.008119,             0.46302,             0.55501,             0.33788,             0.32735,             0.46928,             0.60248,             0.51753,             0.83634,             0.96368,             0.74463,              0.6446,             0.70449,              0.8387,             0.78678
                  59,            0.032517,           0.0047493,           0.0023509,             0.79461,             0.73316,             0.78963,             0.47208,            0.037265,           0.0045347,           0.0065032,            0.008086,            0.008086,            0.008086,             0.48328,             0.52024,             0.32423,             0.34196,             0.48866,             0.64156,             0.50462,             0.83552,             0.94734,             0.72464,             0.63484,             0.76074,             0.84736,             0.77696
                  60,            0.032836,           0.0047236,           0.0025827,             0.76596,             0.76086,             0.78344,             0.45957,            0.038484,           0.0046326,           0.0062255,            0.008053,            0.008053,            0.008053,             0.47191,             0.58098,              0.2991,             0.28927,             0.48182,             0.59495,             0.49896,              0.8316,             0.95647,             0.72797,             0.59351,             0.75726,              0.8567,             0.76059
